x,t,value
0.030303,0.009,0
0.030303,0.01,0
0.030303,0.011,0
0.030303,0.012,0
0.030303,0.013,0
0.030303,0.014,0
0.030303,0.015,0
0.030303,0.016,0
0.030303,0.017,0
0.030303,0.018,0
0.030303,0.019,0
0.030303,0.02,0
0.030303,0.021,0
0.030303,0.022,0
0.030303,0.023,0
0.030303,0.024,0
0.030303,0.025,0
0.030303,0.026,0
0.030303,0.027,0
0.030303,0.028,0
0.030303,0.029,0
0.030303,0.03,0
0.030303,0.031,0
0.030303,0.032,0
0.030303,0.033,0
0.030303,0.034,0
0.030303,0.035,0
0.030303,0.036,0
0.030303,0.037,8.06751e-07
0.030303,0.038,-0.000124428
0.030303,0.039,0.00743423
0.030303,0.04,-0.166177
0.030303,0.041,-0.339568
0.030303,0.042,-0.0225376
0.030303,0.043,-0.000988603
0.030303,0.044,-1.57952e-05
0.030303,0.045,0
0.030303,0.046,0
0.030303,0.047,0
0.030303,0.048,0
0.030303,0.049,0
0.030303,0.05,0
0.030303,0.051,0
0.030303,0.052,0
0.030303,0.053,0
0.030303,0.054,0
0.030303,0.055,0
0.030303,0.056,0
0.030303,0.057,-8.34465e-07
0.030303,0.058,9.19104e-05
0.030303,0.059,-0.00377208
0.030303,0.06,0.0686268
0.030303,0.061,0.444653
0.030303,0.062,0.0310053
0.030303,0.063,0.00154951
0.030303,0.064,3.49239e-05
0.030303,0.065,0
0.030303,0.066,0
0.030303,0.067,0
0.030303,0.068,0
0.030303,0.069,0
0.030303,0.07,0
0.030303,0.071,0
0.030303,0.072,0
0.030303,0.073,0
0.030303,0.074,0
0.030303,0.075,0
0.030303,0.076,0
0.030303,0.077,0
0.030303,0.078,0
0.030303,0.079,0
0.030303,0.08,0
0.030303,0.081,0
0.030303,0.082,0
0.030303,0.083,0
0.030303,0.084,0
0.030303,0.085,0
0.030303,0.086,0
0.030303,0.087,0
0.030303,0.088,0
0.030303,0.089,0
0.030303,0.09,0
0.030303,0.091,0
0.030303,0.092,0
0.030303,0.093,0
0.030303,0.094,0
0.030303,0.095,0
0.030303,0.096,0
0.030303,0.097,0
0.030303,0.098,0
0.030303,0.099,0
0.030303,0.1,0
0.040404,0.001,0
0.040404,0.002,0
0.040404,0.003,0
0.040404,0.004,0
0.040404,0.005,0
0.040404,0.006,0
0.040404,0.007,0
0.040404,0.008,0
0.040404,0.009,0
0.040404,0.01,0
0.040404,0.011,0
0.040404,0.012,0
0.040404,0.013,0
0.040404,0.014,0
0.040404,0.015,0
0.040404,0.016,0
0.040404,0.017,0
0.040404,0.018,0
0.040404,0.019,0
0.040404,0.02,0
0.040404,0.021,0
0.040404,0.022,0
0.040404,0.023,0
0.040404,0.024,0
0.040404,0.025,0
0.040404,0.026,0
0.040404,0.027,0
0.040404,0.028,0
0.040404,0.029,0
0.040404,0.03,0
0.040404,0.031,0
0.040404,0.032,0
0.040404,0.033,0
0.040404,0.034,0
0.040404,0.035,0
0.040404,0.036,-2.06405e-08
0.040404,0.037,3.95089e-06
0.040404,0.038,-0.000308238
0.040404,0.039,0.0124948
0.040404,0.04,-0.195332
0.040404,0.041,-0.405832
0.040404,0.042,-0.0337675
0.040404,0.043,-0.00221783
0.040404,0.044,-7.17044e-05
0.040404,0.045,-8.9407e-07
0.040404,0.046,0
0.040404,0.047,0
0.040404,0.048,0
0.040404,0.049,0
0.040404,0.05,0
0.040404,0.051,0
0.040404,0.052,0
0.040404,0.053,0
0.040404,0.054,0
0.040404,0.055,0
0.040404,0.056,0
0.040404,0.057,-4.76837e-06
0.040404,0.058,0.000253201
0.040404,0.059,-0.00669944
0.040404,0.06,0.0870923
0.040404,0.061,0.514225
0.040404,0.062,0.0561051
0.040404,0.063,0.00366742
0.040404,0.064,0.000148313
0.040404,0.065,2.59876e-06
0.040404,0.066,0
0.040404,0.067,0
0.040404,0.068,0
0.040404,0.069,0
0.040404,0.07,0
0.040404,0.071,0
0.040404,0.072,0
0.040404,0.073,0
0.040404,0.074,0
0.040404,0.075,0
0.040404,0.076,0
0.040404,0.077,0
0.040404,0.078,0
0.040404,0.079,0
0.040404,0.08,0
0.040404,0.081,0
0.040404,0.082,0
0.040404,0.083,0
0.040404,0.084,0
0.040404,0.085,0
0.040404,0.086,0
0.040404,0.087,0
0.040404,0.088,0
0.040404,0.089,0
0.040404,0.09,0
0.040404,0.091,0
0.040404,0.092,0
0.040404,0.093,0
0.040404,0.094,0
0.040404,0.095,0
0.040404,0.096,0
0.040404,0.097,0
0.040404,0.098,0
0.040404,0.099,0
0.040404,0.1,0
0.050505,0.001,0
0.050505,0.002,0
0.050505,0.003,0
0.050505,0.004,0
0.050505,0.005,0
0.050505,0.006,0
0.050505,0.007,0
0.050505,0.008,0
0.050505,0.009,0
0.050505,0.01,0
0.050505,0.011,0
0.050505,0.012,0
0.050505,0.013,0
0.050505,0.014,0
0.050505,0.015,0
0.050505,0.016,0
0.050505,0.017,0
0.050505,0.018,0
0.050505,0.019,0
0.050505,0.02,0
0.050505,0.021,0
0.050505,0.022,0
0.050505,0.023,0
0.050505,0.024,0
0.050505,0.025,0
0.050505,0.026,0
0.050505,0.027,0
0.050505,0.028,0
0.050505,0.029,0
0.050505,0.03,0
0.050505,0.031,0
0.050505,0.032,0
0.050505,0.033,0
0.050505,0.034,0
0.050505,0.035,5.28083e-10
0.050505,0.036,-1.20715e-07
0.050505,0.037,1.16431e-05
0.050505,0.038,-0.000611881
0.050505,0.039,0.0188327
0.050505,0.04,-0.217515
0.050505,0.041,-0.468501
0.050505,0.042,-0.0469825
0.050505,0.043,-0.0040223
0.050505,0.044,-0.000196457
0.050505,0.045,-4.94719e-06
0.050505,0.046,-5.96046e-08
0.050505,0.047,0
0.050505,0.048,0
0.050505,0.049,0
0.050505,0.05,0
0.050505,0.051,0
0.050505,0.052,0
0.050505,0.053,0
0.050505,0.054,0
0.050505,0.055,0
0.050505,0.056,2.38419e-07
0.050505,0.057,-1.56164e-05
0.050505,0.058,0.00053823
0.050505,0.059,-0.0103909
0.050505,0.06,0.103679
0.050505,0.061,0.574948
0.050505,0.062,0.0898794
0.050505,0.063,0.00721961
0.050505,0.064,0.000412721
0.050505,0.065,1.35067e-05
0.050505,0.066,1.93387e-07
0.050505,0.067,0
0.050505,0.068,0
0.050505,0.069,0
0.050505,0.07,0
0.050505,0.071,0
0.050505,0.072,0
0.050505,0.073,0
0.050505,0.074,0
0.050505,0.075,0
0.050505,0.076,0
0.050505,0.077,0
0.050505,0.078,0
0.050505,0.079,0
0.050505,0.08,0
0.050505,0.081,0
0.050505,0.082,0
0.050505,0.083,0
0.050505,0.084,0
0.050505,0.085,0
0.050505,0.086,0
0.050505,0.087,0
0.050505,0.088,0
0.050505,0.089,0
0.050505,0.09,0
0.050505,0.091,0
0.050505,0.092,0
0.050505,0.093,0
0.050505,0.094,0
0.050505,0.095,0
0.050505,0.096,0
0.050505,0.097,0
0.050505,0.098,0
0.050505,0.099,0
0.050505,0.1,0
0.0606061,0.001,0
0.0606061,0.002,0
0.0606061,0.003,0
0.0606061,0.004,0
0.0606061,0.005,0
0.0606061,0.006,0
0.0606061,0.007,0
0.0606061,0.008,0
0.0606061,0.009,0
0.0606061,0.01,0
0.0606061,0.011,0
0.0606061,0.012,0
0.0606061,0.013,0
0.0606061,0.014,0
0.0606061,0.015,0
0.0606061,0.016,0
0.0606061,0.017,0
0.0606061,0.018,0
0.0606061,0.019,0
0.0606061,0.02,0
0.0606061,0.021,0
0.0606061,0.022,0
0.0606061,0.023,0
0.0606061,0.024,0
0.0606061,0.025,0
0.0606061,0.026,0
0.0606061,0.027,0
0.0606061,0.028,0
0.0606061,0.029,0
0.0606061,0.03,0
0.0606061,0.031,0
0.0606061,0.032,0
0.0606061,0.033,0
0.0606061,0.034,-1.35109e-11
0.0606061,0.035,3.59076e-09
0.0606061,0.036,-4.12667e-07
0.0606061,0.037,2.67228e-05
0.0606061,0.038,-0.00106159
0.0606061,0.039,0.0262743
0.0606061,0.04,-0.231975
0.0606061,0.041,-0.528673
0.0606061,0.042,-0.0638577
0.0606061,0.043,-0.00647718
0.0606061,0.044,-0.000421107
0.0606061,0.045,-1.60336e-05
0.0606061,0.046,-3.57628e-07
0.0606061,0.047,0
0.0606061,0.048,0
0.0606061,0.049,0
0.0606061,0.05,0
0.0606061,0.051,0
0.0606061,0.052,0
0.0606061,0.053,0
0.0606061,0.054,0
0.0606061,0.055,0
0.0606061,0.056,9.53674e-07
0.0606061,0.057,-3.85642e-05
0.0606061,0.058,0.000977516
0.0606061,0.059,-0.0147513
0.0606061,0.06,0.118233
0.0606061,0.061,0.628915
0.0606061,0.062,0.130483
0.0606061,0.063,0.012221
0.0606061,0.064,0.000924741
0.0606061,0.065,4.35402e-05
0.0606061,0.066,1.18903e-06
0.0606061,0.067,1.43909e-08
0.0606061,0.068,0
0.0606061,0.069,0
0.0606061,0.07,0
0.0606061,0.071,0
0.0606061,0.072,0
0.0606061,0.073,0
0.0606061,0.074,0
0.0606061,0.075,0
0.0606061,0.076,0
0.0606061,0.077,0
0.0606061,0.078,0
0.0606061,0.079,0
0.0606061,0.08,0
0.0606061,0.081,0
0.0606061,0.082,0
0.0606061,0.083,0
0.0606061,0.084,0
0.0606061,0.085,0
0.0606061,0.086,0
0.0606061,0.087,0
0.0606061,0.088,0
0.0606061,0.089,0
0.0606061,0.09,0
0.0606061,0.091,0
0.0606061,0.092,0
0.0606061,0.093,0
0.0606061,0.094,0
0.0606061,0.095,0
0.0606061,0.096,0
0.0606061,0.097,0
0.0606061,0.098,0
0.0606061,0.099,0
0.0606061,0.1,0
0.0707071,0.001,0
0.0707071,0.002,0
0.0707071,0.003,0
0.0707071,0.004,0
0.0707071,0.005,0
0.0707071,0.006,0
0.0707071,0.007,0
0.0707071,0.008,0
0.0707071,0.009,0
0.0707071,0.01,0
0.0707071,0.011,0
0.0707071,0.012,0
0.0707071,0.013,0
0.0707071,0.014,0
0.0707071,0.015,0
0.0707071,0.016,0
0.0707071,0.017,0
0.0707071,0.018,0
0.0707071,0.019,0
0.0707071,0.02,0
0.0707071,0.021,0
0.0707071,0.022,0
0.0707071,0.023,0
0.0707071,0.024,0
0.0707071,0.025,0
0.0707071,0.026,0
0.0707071,0.027,0
0.0707071,0.028,0
0.0707071,0.029,0
0.0707071,0.03,0
0.0707071,0.031,0
0.0707071,0.032,0
0.0707071,0.033,3.45672e-13
0.0707071,0.034,-1.0472e-10
0.0707071,0.035,1.39724e-08
0.0707071,0.036,-1.07594e-06
0.0707071,0.037,5.25555e-05
0.0707071,0.038,-0.00167781
0.0707071,0.039,0.0345035
0.0707071,0.04,-0.238452
0.0707071,0.041,-0.587054
0.0707071,0.042,-0.087334
0.0707071,0.043,-0.00972688
0.0707071,0.044,-0.000779986
0.0707071,0.045,-3.97563e-05
0.0707071,0.046,-1.2517e-06
0.0707071,0.047,0
0.0707071,0.048,0
0.0707071,0.049,0
0.0707071,0.05,0
0.0707071,0.051,0
0.0707071,0.052,0
0.0707071,0.053,0
0.0707071,0.054,0
0.0707071,0.055,-5.96046e-08
0.0707071,0.056,2.6226e-06
0.0707071,0.057,-8.01086e-05
0.0707071,0.058,0.00159693
0.0707071,0.059,-0.0196772
0.0707071,0.06,0.130736
0.0707071,0.061,0.677669
0.0707071,0.062,0.17578
0.0707071,0.063,0.0182644
0.0707071,0.064,0.00177393
0.0707071,0.065,0.000110126
0.0707071,0.066,4.3705e-06
0.0707071,0.067,1.0217e-07
0.0707071,0.068,1.0709e-09
0.0707071,0.069,0
0.0707071,0.07,0
0.0707071,0.071,0
0.0707071,0.072,0
0.0707071,0.073,0
0.0707071,0.074,0
0.0707071,0.075,0
0.0707071,0.076,0
0.0707071,0.077,0
0.0707071,0.078,0
0.0707071,0.079,0
0.0707071,0.08,0
0.0707071,0.081,0
0.0707071,0.082,0
0.0707071,0.083,0
0.0707071,0.084,0
0.0707071,0.085,0
0.0707071,0.086,0
0.0707071,0.087,0
0.0707071,0.088,0
0.0707071,0.089,0
0.0707071,0.09,0
0.0707071,0.091,0
0.0707071,0.092,0
0.0707071,0.093,0
0.0707071,0.094,0
0.0707071,0.095,0
0.0707071,0.096,0
0.0707071,0.097,0
0.0707071,0.098,0
0.0707071,0.099,0
0.0707071,0.1,0
0.0808081,0.001,0
0.0808081,0.002,0
0.0808081,0.003,0
0.0808081,0.004,0
0.0808081,0.005,0
0.0808081,0.006,0
0.0808081,0.007,0
0.0808081,0.008,0
0.0808081,0.009,0
0.0808081,0.01,0
0.0808081,0.011,0
0.0808081,0.012,0
0.0808081,0.013,0
0.0808081,0.014,0
0.0808081,0.015,0
0.0808081,0.016,0
0.0808081,0.017,0
0.0808081,0.018,0
0.0808081,0.019,0
0.0808081,0.02,0
0.0808081,0.021,0
0.0808081,0.022,0
0.0808081,0.023,0
0.0808081,0.024,0
0.0808081,0.025,0
0.0808081,0.026,0
0.0808081,0.027,0
0.0808081,0.028,0
0.0808081,0.029,0
0.0808081,0.03,0
0.0808081,0.031,0
0.0808081,0.032,-8.84393e-15
0.0808081,0.033,3.00802e-12
0.0808081,0.034,-4.57061e-10
0.0808081,0.035,4.081e-08
0.0808081,0.036,-2.36697e-06
0.0808081,0.037,9.28569e-05
0.0808081,0.038,-0.00247202
0.0808081,0.039,0.0430936
0.0808081,0.04,-0.237353
0.0808081,0.041,-0.643935
0.0808081,0.042,-0.120503
0.0808081,0.043,-0.0140207
0.0808081,0.044,-0.0013141
0.0808081,0.045,-8.34465e-05
0.0808081,0.046,-3.45707e-06
0.0808081,0.047,-5.96046e-08
0.0808081,0.048,0
0.0808081,0.049,0
0.0808081,0.05,0
0.0808081,0.051,0
0.0808081,0.052,0
0.0808081,0.053,0
0.0808081,0.054,0
0.0808081,0.055,-1.78814e-07
0.0808081,0.056,6.07967e-06
0.0808081,0.057,-0.0001477
0.0808081,0.058,0.00241685
0.0808081,0.059,-0.0250632
0.0808081,0.06,0.141226
0.0808081,0.061,0.722314
0.0808081,0.062,0.223851
0.0808081,0.063,0.0249676
0.0808081,0.064,0.00301148
0.0808081,0.065,0.000236378
0.0808081,0.066,1.23485e-05
0.0808081,0.067,4.22384e-07
0.0808081,0.068,8.62164e-09
0.0808081,0.069,7.96916e-11
0.0808081,0.07,0
0.0808081,0.071,0
0.0808081,0.072,0
0.0808081,0.073,0
0.0808081,0.074,0
0.0808081,0.075,0
0.0808081,0.076,0
0.0808081,0.077,0
0.0808081,0.078,0
0.0808081,0.079,0
0.0808081,0.08,0
0.0808081,0.081,0
0.0808081,0.082,0
0.0808081,0.083,0
0.0808081,0.084,0
0.0808081,0.085,0
0.0808081,0.086,0
0.0808081,0.087,0
0.0808081,0.088,0
0.0808081,0.089,0
0.0808081,0.09,0
0.0808081,0.091,0
0.0808081,0.092,0
0.0808081,0.093,0
0.0808081,0.094,0
0.0808081,0.095,0
0.0808081,0.096,0
0.0808081,0.097,0
0.0808081,0.098,0
0.0808081,0.099,0
0.0808081,0.1,0
0.0909091,0.001,0
0.0909091,0.002,0
0.0909091,0.003,0
0.0909091,0.004,0
0.0909091,0.005,0
0.0909091,0.006,0
0.0909091,0.007,0
0.0909091,0.008,0
0.0909091,0.009,0
0.0909091,0.01,0
0.0909091,0.011,0
0.0909091,0.012,0
0.0909091,0.013,0
0.0909091,0.014,0
0.0909091,0.015,0
0.0909091,0.016,0
0.0909091,0.017,0
